Message,Sentiment
"SVG transform on text attribute works excellent! This snippet, for example, will increase your text by 2x at Y-axis.",LOVE
Excellent! This is exactly what I needed. Thanks!,LOVE
"Customise toolbar above iPad keyboard adding a single line textfield aka SMS style I have ipad app with landscape locked view with multiple textfields that I dont want to scroll up but like to enter single line text via a textfield in the toolbar, next to the Done, Next and Previous buttons. I am new to coding and built the app except for this customisation of the toolbar any help would be excellent :)",LOVE
"Excellent tips, thanks! Additionally you can try Clarity",LOVE
Excellent! Works exactly like I wanted. Thanks.,LOVE
@VitoshKa Excellent! Wish I could give you another up vote for th update,LOVE
"I have a long scrolling page, and want to test if an element is 100px from the top, then apply a class elsewhere (until the next element in line is 100px from the top) If I could just get the basic statement I would be ecstatic, anything extra would be a bonus!",LOVE
Great time saver and hidden gem. Excellent!,LOVE
"Excellent! That makes life considerably easier. I really didn't want to add another layer to the application if I could avoid it. As far as StackOverflow etiquette goes, if I set this question as answered, Nikos won't get the rep for it as the answer is in the comments. What's the protocol?",LOVE
Excellent article! Very useful :),LOVE
@Oded thank you this tool is very great!,LOVE
"Yep I've been testing some stuff recently under Safari 5.1.5 (WinXP) recently and when you have elements with tabindex=""0"", all the elements EXCEPT links ( with ""href"" defined) are focusable. By all elements, I mean s, s etc. It's absolutely amazing for me from the accessibility point of view!",LOVE
"Here is the good example of getting twitter-like UI for ipad app. , its really awesome!!!!! It provides : cascade views orientation support bouncing effect",LOVE
"Excellent answer, thanks! Wish I could give you more points.",LOVE
No worries Stephen!,LOVE
I am learning ML. Can some one please help me out with basic input/output functions in ML?? I just want to read input from console and store it in a variable and use it in my ML program. Please help. If you can point me towards some example for this also it would be super great!!! Thank you.,LOVE
"I appreciate your warm welcome, I never seen such a warm regard here for trying to be helpful, it was a really pleasant introduction and I want to thank you for taking your time to write - at last the end of the questions reads ""If anyone has any ideas I would be extremely grateful!""",LOVE
Excellent point! Thanks!! I did mean just the left side though.. (I should have specified that). Was glad to learn your insight though..,LOVE
"This is really great question - well organised and explained, nicely done!",LOVE
Thanks. That was a really great pointer!,LOVE
"Excellent, this works perfectly! Thank you :)",LOVE
"Excellent, Thanks!",LOVE
Unless you use JetBrains's excellent tools!,LOVE
excellent solution is in subclass UITextView add lines It's work!,LOVE
"Ahhh! I just made num_rows work (even though I don't need it, as you pointed out) because of your indirect help! Thanks you sweetheart!",LOVE
"I have a javascript document.write function that returns a textarea value to a field like so: Now, I need the output of what is returned from the document.write part to be in BBCode output, so if the value fetched from the document.write function is [b]hello[/b], it returns ""hello"" not [b]hello[/b]. Any help would be extremely appreciated!",LOVE
Stu Nicholls's site has a lot of examples of how to do this without javascript. It's a really excellent resource.,LOVE
There's an excellent series of posts on execution plans and how to read and interpret them - and a totally free e-book on the topic as well! - on the excellent Simple-Talk site. Check them out - well worth the time!,LOVE
no worries! it happens all the time.,LOVE
"Excellent, thank you!",LOVE
"I ended up using , which met all my needs and is (IMO) very excellent.",LOVE
Wow great answer and very quick!. Explained everything.,LOVE
"Excellent, injekt!!! Loved the way you answered.",LOVE
Absolutely. Don't be afraid to just try stuff out!,LOVE
"Hey there i've been trying to make an image full screen in the browser without any whitespace and also have a random image everytime you refresh the browser, I know there has to be a way to do that maybe with an image array? Can anyone help i have no idea how to even start. So far this is what i came up with: Please help me! i would really love it!",LOVE
"Loving Susy, so far! Now I'd like this initial layout... ... to turn into this layout on a smaller screen: Is this possible using Susy? Furthermore, I'd want the AC-column to function as a single entity when they're in the same column, since I'd like to give them sticky behavior.",LOVE
"OK this is really odd. I have a list of about 20 pairs of TV's that look like: etc, all the way up to 20 They all work fine but one. It although the names and order of the TVs are correct in both the template and the resource its displays in the location. I have tried clearing both ModX's cache and my browser cache but here is the result I get: The Template: The Resource's TV's: The result on the browser: If anyone can give me a hint as to what's going on I would be really greatful! Thanks",LOVE
"I agree it's very ugly, but it does work! Well spotted.",LOVE
You might want to look into JAXB. If you have a defined XML schema it will automatically create java classes that will easily allow you to 'marshal' (move data from java -> XML) and much much more. It's incredibly useful!,LOVE
No worries! IE11 does a poor job of emulating other browser versions.,LOVE
"Well I'm kind of new with magento, and at work they ask me to do a group of products that they will be put in discount, so I created a category sales where I can link the products and put them in sale, so this is working perfectly, but the ask me to put dates in the products so the web master can put dates where the products will be shown between dates, so now I have no idea how to do this. I really hope you guys can help me thanks so much!",LOVE
"Related: Doug Lea put this up last week, pretty awesome!",LOVE
I am attempting to get just the smiling array under tags then attributes. I have tried both to search and simply select. Every attempt results in an undefined variable. If you could explain how to select the smiling array that would be excellent!,LOVE
"I am trying to get the second dropdown box to change and populate when the first box has a car Make chosen. It connects to the database just fine, and if I type 'Honda' instead of 'carmake3' in the second dropdown, then it gives me a list of all the honda cars. I just need to work based on what the user selects. Any help would be extremely appreciated!",LOVE
"I'm pretty familiar with PGP, and the way it works. I'd like to include some functionality in a project, but so far my research has left my head spinning. What I'd like to do is create a public key with a defined private pass phrase. From there, I'd share the public key with someone where they can then encrypt a message using the key and return it to me where I can decrypt. I envision the code looking something like this. To generate my private pgp key: To encrypt I'd give my shared key to a friend: To decrypt the encrypted string after being sent back to me: Obviously I know I'm skipping out on a ton of details. Through my research I've seen references to libraries like Bouncy Castle and Spongy Castle. Any help would be hugely appreciated!",LOVE
"The link works for me. That is a pretty awesome testing class! Thanks Andrew. I think I am going to convert and use that in my Silverlight project. Thanks for the tip about Caliburn, Josh G. I'll have a look at that too! :)",LOVE
AutoHyperlinks (https://bitbucket.org/sholt/autohyperlinks2/overview) is a pretty excellent library for this purpose.,LOVE
Excellent! Exactly what I needed :),LOVE
I solved this need by using . I am able to route calls from Edge to my local machine. Absolutely love ngork! :-),LOVE
I am trying to toggle article length for a smartphone size site to save space. I thought that this would work - but I don't understand .closest() I guess. is a jsfiddle. Any direction would be GRRRRREAT!,LOVE
@Andremoniy this is an excellent idea! But what if this is legacy code?,LOVE
Excellent tool! Thanks for making it available.,LOVE
Excellent ! You just gave me a lesson :),LOVE
"excellent, thanks to both of you!",LOVE
"Excellent hint! I was using scrollTo(0,0) and it was doing nothing",LOVE
Excellent answer to a very general question ! :-),LOVE
"Well, you are really brave! Implementing a Linq provider all be yourself...",LOVE
"i have a botton which is for changing the background image with jquery, as the following code shows it works very fine! but i want to fade in the newbg-image... is it possible to add a jquery fade method to it. Any help would be very appreciated. Thanks Ted",LOVE
